filename,clean_file,noise_type,target_snr_db,actual_snr_db
speech_001__white__snr-5.wav,speech_001.wav,white,-5,-5.0
speech_001__white__snr0.wav,speech_001.wav,white,0,0.0
speech_001__white__snr5.wav,speech_001.wav,white,5,5.0
speech_001__white__snr10.wav,speech_001.wav,white,10,10.0
speech_001__white__snr15.wav,speech_001.wav,white,15,15.0
speech_001__white__snr20.wav,speech_001.wav,white,20,20.0
speech_001__pink__snr-5.wav,speech_001.wav,pink,-5,-5.0
speech_001__pink__snr0.wav,speech_001.wav,pink,0,-0.0
speech_001__pink__snr5.wav,speech_001.wav,pink,5,5.0
speech_001__pink__snr10.wav,speech_001.wav,pink,10,10.0
speech_001__pink__snr15.wav,speech_001.wav,pink,15,15.0
speech_001__pink__snr20.wav,speech_001.wav,pink,20,20.0
speech_001__hum__snr-5.wav,speech_001.wav,hum,-5,-5.0
speech_001__hum__snr0.wav,speech_001.wav,hum,0,0.0
speech_001__hum__snr5.wav,speech_001.wav,hum,5,5.0
speech_001__hum__snr10.wav,speech_001.wav,hum,10,10.0
speech_001__hum__snr15.wav,speech_001.wav,hum,15,15.0
speech_001__hum__snr20.wav,speech_001.wav,hum,20,20.0
speech_001__impulsive__snr-5.wav,speech_001.wav,impulsive,-5,-5.0
speech_001__impulsive__snr0.wav,speech_001.wav,impulsive,0,0.0
speech_001__impulsive__snr5.wav,speech_001.wav,impulsive,5,5.0
speech_001__impulsive__snr10.wav,speech_001.wav,impulsive,10,10.0
speech_001__impulsive__snr15.wav,speech_001.wav,impulsive,15,15.0
speech_001__impulsive__snr20.wav,speech_001.wav,impulsive,20,20.0
speech_002__white__snr-5.wav,speech_002.wav,white,-5,-5.0
speech_002__white__snr0.wav,speech_002.wav,white,0,0.0
speech_002__white__snr5.wav,speech_002.wav,white,5,5.0
speech_002__white__snr10.wav,speech_002.wav,white,10,10.0
speech_002__white__snr15.wav,speech_002.wav,white,15,15.0
speech_002__white__snr20.wav,speech_002.wav,white,20,20.0
speech_002__pink__snr-5.wav,speech_002.wav,pink,-5,-5.0
speech_002__pink__snr0.wav,speech_002.wav,pink,0,0.0
speech_002__pink__snr5.wav,speech_002.wav,pink,5,5.0
speech_002__pink__snr10.wav,speech_002.wav,pink,10,10.0
speech_002__pink__snr15.wav,speech_002.wav,pink,15,15.0
speech_002__pink__snr20.wav,speech_002.wav,pink,20,20.0
speech_002__hum__snr-5.wav,speech_002.wav,hum,-5,-5.0
speech_002__hum__snr0.wav,speech_002.wav,hum,0,0.0
speech_002__hum__snr5.wav,speech_002.wav,hum,5,5.0
speech_002__hum__snr10.wav,speech_002.wav,hum,10,10.0
speech_002__hum__snr15.wav,speech_002.wav,hum,15,15.0
speech_002__hum__snr20.wav,speech_002.wav,hum,20,20.0
speech_002__impulsive__snr-5.wav,speech_002.wav,impulsive,-5,-5.0
speech_002__impulsive__snr0.wav,speech_002.wav,impulsive,0,0.0
speech_002__impulsive__snr5.wav,speech_002.wav,impulsive,5,5.0
speech_002__impulsive__snr10.wav,speech_002.wav,impulsive,10,10.0
speech_002__impulsive__snr15.wav,speech_002.wav,impulsive,15,15.0
speech_002__impulsive__snr20.wav,speech_002.wav,impulsive,20,20.0
speech_003__white__snr-5.wav,speech_003.wav,white,-5,-5.0
speech_003__white__snr0.wav,speech_003.wav,white,0,0.0
speech_003__white__snr5.wav,speech_003.wav,white,5,5.0
speech_003__white__snr10.wav,speech_003.wav,white,10,10.0
speech_003__white__snr15.wav,speech_003.wav,white,15,15.0
speech_003__white__snr20.wav,speech_003.wav,white,20,20.0
speech_003__pink__snr-5.wav,speech_003.wav,pink,-5,-5.0
speech_003__pink__snr0.wav,speech_003.wav,pink,0,-0.0
speech_003__pink__snr5.wav,speech_003.wav,pink,5,5.0
speech_003__pink__snr10.wav,speech_003.wav,pink,10,10.0
speech_003__pink__snr15.wav,speech_003.wav,pink,15,15.0
speech_003__pink__snr20.wav,speech_003.wav,pink,20,20.0
speech_003__hum__snr-5.wav,speech_003.wav,hum,-5,-5.0
speech_003__hum__snr0.wav,speech_003.wav,hum,0,-0.0
speech_003__hum__snr5.wav,speech_003.wav,hum,5,5.0
speech_003__hum__snr10.wav,speech_003.wav,hum,10,10.0
speech_003__hum__snr15.wav,speech_003.wav,hum,15,15.0
speech_003__hum__snr20.wav,speech_003.wav,hum,20,20.0
speech_003__impulsive__snr-5.wav,speech_003.wav,impulsive,-5,-5.0
speech_003__impulsive__snr0.wav,speech_003.wav,impulsive,0,-0.0
speech_003__impulsive__snr5.wav,speech_003.wav,impulsive,5,5.0
speech_003__impulsive__snr10.wav,speech_003.wav,impulsive,10,10.0
speech_003__impulsive__snr15.wav,speech_003.wav,impulsive,15,15.0
speech_003__impulsive__snr20.wav,speech_003.wav,impulsive,20,20.0
speech_004__white__snr-5.wav,speech_004.wav,white,-5,-5.0
speech_004__white__snr0.wav,speech_004.wav,white,0,-0.0
speech_004__white__snr5.wav,speech_004.wav,white,5,5.0
speech_004__white__snr10.wav,speech_004.wav,white,10,10.0
speech_004__white__snr15.wav,speech_004.wav,white,15,15.0
speech_004__white__snr20.wav,speech_004.wav,white,20,20.0
speech_004__pink__snr-5.wav,speech_004.wav,pink,-5,-5.0
speech_004__pink__snr0.wav,speech_004.wav,pink,0,-0.0
speech_004__pink__snr5.wav,speech_004.wav,pink,5,5.0
speech_004__pink__snr10.wav,speech_004.wav,pink,10,10.0
speech_004__pink__snr15.wav,speech_004.wav,pink,15,15.0
speech_004__pink__snr20.wav,speech_004.wav,pink,20,20.0
speech_004__hum__snr-5.wav,speech_004.wav,hum,-5,-5.0
speech_004__hum__snr0.wav,speech_004.wav,hum,0,-0.0
