filename,clean_file,duration_s,base_snr_db,event_type,events_json
speech_001__dynamic__v00__switch.wav,speech_001.wav,6.144,20,switch,"[{""type"": ""switch"", ""noise_a"": ""ch02"", ""noise_b"": ""pink"", ""change_s"": 4.2681875, ""snr_db"": 20}]"
speech_001__dynamic__v01__onset.wav,speech_001.wav,6.144,10,onset,"[{""type"": ""onset"", ""noise"": ""white"", ""start_s"": 0.0, ""end_s"": 6.144, ""change_s"": 2.9489375, ""snr_before_db"": 15, ""snr_after_db"": 10}]"
speech_001__dynamic__v02__onset.wav,speech_001.wav,6.144,10,onset,"[{""type"": ""onset"", ""noise"": ""ch11"", ""start_s"": 0.0, ""end_s"": 6.144, ""change_s"": 3.48625, ""snr_before_db"": 15, ""snr_after_db"": 10}]"
speech_001__dynamic__v03__snr_ramp.wav,speech_001.wav,6.144,0,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch04"", ""segments"": [{""start_s"": 0.0, ""end_s"": 1.536, ""snr_db"": 10}, {""start_s"": 1.536, ""end_s"": 3.072, ""snr_db"": 5}, {""start_s"": 3.072, ""end_s"": 4.608, ""snr_db"": -5}, {""start_s"": 4.608, ""end_s"": 6.144, ""snr_db"": 0}]}]"
speech_001__dynamic__v04__snr_ramp.wav,speech_001.wav,6.144,5,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch06"", ""segments"": [{""start_s"": 0.0, ""end_s"": 1.536, ""snr_db"": 15}, {""start_s"": 1.536, ""end_s"": 3.072, ""snr_db"": 10}, {""start_s"": 3.072, ""end_s"": 4.608, ""snr_db"": 0}, {""start_s"": 4.608, ""end_s"": 6.144, ""snr_db"": 5}]}]"
speech_001__dynamic__v05__snr_ramp.wav,speech_001.wav,6.144,0,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""pink"", ""segments"": [{""start_s"": 0.0, ""end_s"": 1.536, ""snr_db"": 10}, {""start_s"": 1.536, ""end_s"": 3.072, ""snr_db"": 5}, {""start_s"": 3.072, ""end_s"": 4.608, ""snr_db"": -5}, {""start_s"": 4.608, ""end_s"": 6.144, ""snr_db"": 0}]}]"
speech_002__dynamic__v00__switch.wav,speech_002.wav,21.2346875,-5,switch,"[{""type"": ""switch"", ""noise_a"": ""ch05"", ""noise_b"": ""ch11"", ""change_s"": 14.3818125, ""snr_db"": -5}]"
speech_002__dynamic__v01__onset.wav,speech_002.wav,21.2346875,0,onset,"[{""type"": ""onset"", ""noise"": ""ch16"", ""start_s"": 0.0, ""end_s"": 21.2346875, ""change_s"": 9.613875, ""snr_before_db"": 5, ""snr_after_db"": 0}]"
speech_002__dynamic__v02__snr_ramp.wav,speech_002.wav,21.2346875,15,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""white"", ""segments"": [{""start_s"": 0.0, ""end_s"": 5.308625, ""snr_db"": 20}, {""start_s"": 5.308625, ""end_s"": 10.6173125, ""snr_db"": 20}, {""start_s"": 10.6173125, ""end_s"": 15.926, ""snr_db"": 10}, {""start_s"": 15.926, ""end_s"": 21.2346875, ""snr_db"": 15}]}]"
speech_002__dynamic__v03__multi.wav,speech_002.wav,21.2346875,10,multi,"[{""type"": ""multi"", ""noise_a"": ""ch06"", ""noise_b"": ""impulsive"", ""second_start_s"": 10.5301875, ""snr_a_db"": 13, ""snr_combined_target_db"": 10}]"
speech_002__dynamic__v04__snr_ramp.wav,speech_002.wav,21.2346875,15,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""white"", ""segments"": [{""start_s"": 0.0, ""end_s"": 5.308625, ""snr_db"": 20}, {""start_s"": 5.308625, ""end_s"": 10.6173125, ""snr_db"": 20}, {""start_s"": 10.6173125, ""end_s"": 15.926, ""snr_db"": 10}, {""start_s"": 15.926, ""end_s"": 21.2346875, ""snr_db"": 15}]}]"
speech_002__dynamic__v05__snr_ramp.wav,speech_002.wav,21.2346875,-5,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch14"", ""segments"": [{""start_s"": 0.0, ""end_s"": 5.308625, ""snr_db"": 5}, {""start_s"": 5.308625, ""end_s"": 10.6173125, ""snr_db"": 0}, {""start_s"": 10.6173125, ""end_s"": 15.926, ""snr_db"": -10}, {""start_s"": 15.926, ""end_s"": 21.2346875, ""snr_db"": -5}]}]"
speech_003__dynamic__v00__multi.wav,speech_003.wav,33.901125,-5,multi,"[{""type"": ""multi"", ""noise_a"": ""ch05"", ""noise_b"": ""ch16"", ""second_start_s"": 20.2851875, ""snr_a_db"": -2, ""snr_combined_target_db"": -5}]"
speech_003__dynamic__v01__snr_ramp.wav,speech_003.wav,33.901125,10,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch02"", ""segments"": [{""start_s"": 0.0, ""end_s"": 8.47525, ""snr_db"": 20}, {""start_s"": 8.47525, ""end_s"": 16.9505625, ""snr_db"": 15}, {""start_s"": 16.9505625, ""end_s"": 25.4258125, ""snr_db"": 5}, {""start_s"": 25.4258125, ""end_s"": 33.901125, ""snr_db"": 10}]}]"
speech_003__dynamic__v02__onset.wav,speech_003.wav,33.901125,0,onset,"[{""type"": ""onset"", ""noise"": ""ch02"", ""start_s"": 0.0, ""end_s"": 33.901125, ""change_s"": 13.911, ""snr_before_db"": 5, ""snr_after_db"": 0}]"
speech_003__dynamic__v03__switch.wav,speech_003.wav,33.901125,0,switch,"[{""type"": ""switch"", ""noise_a"": ""ch11"", ""noise_b"": ""ch09"", ""change_s"": 18.0285625, ""snr_db"": 0}]"
speech_003__dynamic__v04__multi.wav,speech_003.wav,33.901125,10,multi,"[{""type"": ""multi"", ""noise_a"": ""white"", ""noise_b"": ""ch16"", ""second_start_s"": 20.4735, ""snr_a_db"": 13, ""snr_combined_target_db"": 10}]"
speech_003__dynamic__v05__switch.wav,speech_003.wav,33.901125,5,switch,"[{""type"": ""switch"", ""noise_a"": ""ch15"", ""noise_b"": ""ch05"", ""change_s"": 18.0594375, ""snr_db"": 5}]"
speech_004__dynamic__v00__snr_ramp.wav,speech_004.wav,67.669,15,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch08"", ""segments"": [{""start_s"": 0.0, ""end_s"": 16.91725, ""snr_db"": 20}, {""start_s"": 16.91725, ""end_s"": 33.8345, ""snr_db"": 20}, {""start_s"": 33.8345, ""end_s"": 50.75175, ""snr_db"": 10}, {""start_s"": 50.75175, ""end_s"": 67.669, ""snr_db"": 15}]}]"
speech_004__dynamic__v01__onset.wav,speech_004.wav,67.669,5,onset,"[{""type"": ""onset"", ""noise"": ""ch12"", ""start_s"": 0.0, ""end_s"": 67.669, ""change_s"": 32.5903125, ""snr_before_db"": 10, ""snr_after_db"": 5}]"
speech_004__dynamic__v02__onset.wav,speech_004.wav,67.669,10,onset,"[{""type"": ""onset"", ""noise"": ""ch06"", ""start_s"": 0.0, ""end_s"": 67.669, ""change_s"": 23.4179375, ""snr_before_db"": 15, ""snr_after_db"": 10}]"
speech_004__dynamic__v03__switch.wav,speech_004.wav,67.669,15,switch,"[{""type"": ""switch"", ""noise_a"": ""ch07"", ""noise_b"": ""ch10"", ""change_s"": 37.068125, ""snr_db"": 15}]"
speech_004__dynamic__v04__onset.wav,speech_004.wav,67.669,0,onset,"[{""type"": ""onset"", ""noise"": ""ch03"", ""start_s"": 0.0, ""end_s"": 67.669, ""change_s"": 27.8074375, ""snr_before_db"": 5, ""snr_after_db"": 0}]"
speech_004__dynamic__v05__snr_ramp.wav,speech_004.wav,67.669,15,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch06"", ""segments"": [{""start_s"": 0.0, ""end_s"": 16.91725, ""snr_db"": 20}, {""start_s"": 16.91725, ""end_s"": 33.8345, ""snr_db"": 20}, {""start_s"": 33.8345, ""end_s"": 50.75175, ""snr_db"": 10}, {""start_s"": 50.75175, ""end_s"": 67.669, ""snr_db"": 15}]}]"
speech_005__dynamic__v00__impulse.wav,speech_005.wav,27.373,15,impulse,"[{""type"": ""impulse"", ""background_noise"": ""ch02"", ""impulse_times_s"": [7.8596875, 1.1938125], ""background_snr_db"": 20}]"
speech_005__dynamic__v01__multi.wav,speech_005.wav,27.373,15,multi,"[{""type"": ""multi"", ""noise_a"": ""impulsive"", ""noise_b"": ""hum"", ""second_start_s"": 12.085, ""snr_a_db"": 18, ""snr_combined_target_db"": 15}]"
speech_005__dynamic__v02__impulse.wav,speech_005.wav,27.373,10,impulse,"[{""type"": ""impulse"", ""background_noise"": ""ch12"", ""impulse_times_s"": [22.8066875, 10.48875, 20.45125], ""background_snr_db"": 15}]"
speech_005__dynamic__v03__multi.wav,speech_005.wav,27.373,-5,multi,"[{""type"": ""multi"", ""noise_a"": ""ch10"", ""noise_b"": ""ch01"", ""second_start_s"": 11.331875, ""snr_a_db"": -2, ""snr_combined_target_db"": -5}]"
speech_005__dynamic__v04__snr_ramp.wav,speech_005.wav,27.373,20,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""hum"", ""segments"": [{""start_s"": 0.0, ""end_s"": 6.84325, ""snr_db"": 20}, {""start_s"": 6.84325, ""end_s"": 13.6865, ""snr_db"": 25}, {""start_s"": 13.6865, ""end_s"": 20.52975, ""snr_db"": 15}, {""start_s"": 20.52975, ""end_s"": 27.373, ""snr_db"": 20}]}]"
speech_005__dynamic__v05__snr_ramp.wav,speech_005.wav,27.373,10,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch14"", ""segments"": [{""start_s"": 0.0, ""end_s"": 6.84325, ""snr_db"": 20}, {""start_s"": 6.84325, ""end_s"": 13.6865, ""snr_db"": 15}, {""start_s"": 13.6865, ""end_s"": 20.52975, ""snr_db"": 5}, {""start_s"": 20.52975, ""end_s"": 27.373, ""snr_db"": 10}]}]"
speech_006__dynamic__v00__switch.wav,speech_006.wav,48.373,15,switch,"[{""type"": ""switch"", ""noise_a"": ""ch15"", ""noise_b"": ""pink"", ""change_s"": 21.5165, ""snr_db"": 15}]"
speech_006__dynamic__v01__onset.wav,speech_006.wav,48.373,15,onset,"[{""type"": ""onset"", ""noise"": ""hum"", ""start_s"": 0.0, ""end_s"": 48.373, ""change_s"": 20.3468125, ""snr_before_db"": 20, ""snr_after_db"": 15}]"
speech_006__dynamic__v02__multi.wav,speech_006.wav,48.373,20,multi,"[{""type"": ""multi"", ""noise_a"": ""ch07"", ""noise_b"": ""ch06"", ""second_start_s"": 27.5204375, ""snr_a_db"": 23, ""snr_combined_target_db"": 20}]"
speech_006__dynamic__v03__multi.wav,speech_006.wav,48.373,10,multi,"[{""type"": ""multi"", ""noise_a"": ""ch07"", ""noise_b"": ""ch05"", ""second_start_s"": 25.5391875, ""snr_a_db"": 13, ""snr_combined_target_db"": 10}]"
speech_006__dynamic__v04__onset.wav,speech_006.wav,48.373,10,onset,"[{""type"": ""onset"", ""noise"": ""ch14"", ""start_s"": 0.0, ""end_s"": 48.373, ""change_s"": 23.374125, ""snr_before_db"": 15, ""snr_after_db"": 10}]"
speech_006__dynamic__v05__multi.wav,speech_006.wav,48.373,20,multi,"[{""type"": ""multi"", ""noise_a"": ""ch14"", ""noise_b"": ""white"", ""second_start_s"": 25.94275, ""snr_a_db"": 23, ""snr_combined_target_db"": 20}]"
speech_007__dynamic__v00__switch.wav,speech_007.wav,24.013,0,switch,"[{""type"": ""switch"", ""noise_a"": ""ch14"", ""noise_b"": ""impulsive"", ""change_s"": 13.595625, ""snr_db"": 0}]"
speech_007__dynamic__v01__snr_ramp.wav,speech_007.wav,24.013,20,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""impulsive"", ""segments"": [{""start_s"": 0.0, ""end_s"": 6.00325, ""snr_db"": 20}, {""start_s"": 6.00325, ""end_s"": 12.0065, ""snr_db"": 25}, {""start_s"": 12.0065, ""end_s"": 18.00975, ""snr_db"": 15}, {""start_s"": 18.00975, ""end_s"": 24.013, ""snr_db"": 20}]}]"
speech_007__dynamic__v02__switch.wav,speech_007.wav,24.013,10,switch,"[{""type"": ""switch"", ""noise_a"": ""ch06"", ""noise_b"": ""ch04"", ""change_s"": 15.635, ""snr_db"": 10}]"
speech_007__dynamic__v03__snr_ramp.wav,speech_007.wav,24.013,20,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch01"", ""segments"": [{""start_s"": 0.0, ""end_s"": 6.00325, ""snr_db"": 20}, {""start_s"": 6.00325, ""end_s"": 12.0065, ""snr_db"": 25}, {""start_s"": 12.0065, ""end_s"": 18.00975, ""snr_db"": 15}, {""start_s"": 18.00975, ""end_s"": 24.013, ""snr_db"": 20}]}]"
speech_007__dynamic__v04__multi.wav,speech_007.wav,24.013,0,multi,"[{""type"": ""multi"", ""noise_a"": ""impulsive"", ""noise_b"": ""ch10"", ""second_start_s"": 11.146375, ""snr_a_db"": 3, ""snr_combined_target_db"": 0}]"
speech_007__dynamic__v05__switch.wav,speech_007.wav,24.013,10,switch,"[{""type"": ""switch"", ""noise_a"": ""ch09"", ""noise_b"": ""ch05"", ""change_s"": 15.3826875, ""snr_db"": 10}]"
speech_008__dynamic__v00__multi.wav,speech_008.wav,25.405,-5,multi,"[{""type"": ""multi"", ""noise_a"": ""ch12"", ""noise_b"": ""pink"", ""second_start_s"": 11.47375, ""snr_a_db"": -2, ""snr_combined_target_db"": -5}]"
speech_008__dynamic__v01__impulse.wav,speech_008.wav,25.405,5,impulse,"[{""type"": ""impulse"", ""background_noise"": ""ch11"", ""impulse_times_s"": [3.8873125, 17.7425625], ""background_snr_db"": 10}]"
speech_008__dynamic__v02__multi.wav,speech_008.wav,25.405,10,multi,"[{""type"": ""multi"", ""noise_a"": ""ch14"", ""noise_b"": ""ch09"", ""second_start_s"": 13.532375, ""snr_a_db"": 13, ""snr_combined_target_db"": 10}]"
speech_008__dynamic__v03__snr_ramp.wav,speech_008.wav,25.405,0,snr_ramp,"[{""type"": ""snr_ramp"", ""noise"": ""ch15"", ""segments"": [{""start_s"": 0.0, ""end_s"": 6.35125, ""snr_db"": 10}, {""start_s"": 6.35125, ""end_s"": 12.7025, ""snr_db"": 5}, {""start_s"": 12.7025, ""end_s"": 19.05375, ""snr_db"": -5}, {""start_s"": 19.05375, ""end_s"": 25.405, ""snr_db"": 0}]}]"
speech_008__dynamic__v04__onset.wav,speech_008.wav,25.405,5,onset,"[{""type"": ""onset"", ""noise"": ""ch02"", ""start_s"": 0.0, ""end_s"": 25.405, ""change_s"": 7.566375, ""snr_before_db"": 10, ""snr_after_db"": 5}]"
speech_008__dynamic__v05__switch.wav,speech_008.wav,25.405,0,switch,"[{""type"": ""switch"", ""noise_a"": ""ch07"", ""noise_b"": ""ch15"", ""change_s"": 8.44075, ""snr_db"": 0}]"
